Release Artist;Release Title;Release Type;UPC;ISRC;Grid;Vendor;Country of Sale;Country Code;Delivery Type;Delivery Format;Net Units;Net Payable
Caz Gardiner & The Badasonics;Never Gonna Let;Track;3760231765051;BEHC61800003;digital-BAD45001;Apple Music;BELGIUM;BE;Stream;Stream;1  ;$0,01
Caz Gardiner & The Badasonics;Never Gonna Let;Track;3760231765051;BEHC61800003;digital-BAD45001;Apple Music;BELGIUM;BE;Stream;Stream;1  ;$0,01
Caz Gardiner & The Badasonics;Never Gonna Let;Track;3760231765051;BEHC61800003;digital-BAD45001;Apple Music;BELGIUM;BE;Stream;Stream;1  ;$0,01
Caz Gardiner & The Badasonics;Tic Tac Toe;Track;3760231765051;BEHC61800009;digital-BAD45001;Apple Music;BRAZIL;BR;Stream;Stream;2  ;$0,02
Caz Gardiner & The Badasonics;Never Gonna Let;Track;3760231765051;BEHC61800003;digital-BAD45001;Apple Music;CANADA;CA;Stream;Stream;1  ;$0,00
Caz Gardiner & The Badasonics;Tic Tac Toe;Track;3760231765051;BEHC61800009;digital-BAD45001;Apple Music;CANADA;CA;Stream;Stream;1  ;$0,00
Caz Gardiner & The Badasonics;Never Gonna Let;Track;3760231765051;BEHC61800003;digital-BAD45001;Apple Music;CANADA;CA;Stream;Stream;1  ;$0,00
Caz Gardiner & The Badasonics;Never Gonna Let;Track;3760231765051;BEHC61800003;digital-BAD45001;Apple Music;UNITED KINGDOM;GB;Stream;Stream;1  ;$0,01
Caz Gardiner & The Badasonics;Tic Tac Toe;Track;3760231765051;BEHC61800009;digital-BAD45001;Apple Music;JAPAN;JP;Stream;Stream;1  ;$0,00
Caz Gardiner & The Badasonics;Never Gonna Let;Track;3760231765051;BEHC61800003;digital-BAD45001;Apple Music;JAPAN;JP;Stream;Stream;1  ;$0,00
Caz Gardiner & The Badasonics;Never Gonna Let;Track;3760231765051;BEHC61800003;digital-BAD45001;Apple Music;JAPAN;JP;Stream;Stream;2  ;$0,02
Caz Gardiner & The Badasonics;Tic Tac Toe;Track;3760231765051;BEHC61800009;digital-BAD45001;Apple Music;JAPAN;JP;Stream;Stream;1  ;$0,01
Caz Gardiner & The Badasonics;Never Gonna Let;Track;3760231765051;BEHC61800003;digital-BAD45001;Apple Music;JAPAN;JP;Stream;Stream;1  ;$0,01
Caz Gardiner & The Badasonics;Never Gonna Let;Track;3760231765051;BEHC61800003;digital-BAD45001;Apple Music;UNITED STATES;US;Stream;Stream;2  ;$0,01
Caz Gardiner & The Badasonics;Never Gonna Let;Track;3760231765051;BEHC61800003;digital-BAD45001;Apple Music;UNITED STATES;US;Stream;Stream;1  ;$0,00
Caz Gardiner & The Badasonics;Never Gonna Let;Track;3760231765051;BEHC61800003;digital-BAD45001;Apple Music;UNITED STATES;US;Stream;Stream;1  ;$0,00
Caz Gardiner & The Badasonics;Never Gonna Let;Track;3760231765051;BEHC61800003;digital-BAD45001;Apple Music;UNITED STATES;US;Stream;Stream;1  ;$0,01
Caz Gardiner & The Badasonics;Never Gonna Let;Track;3760231765051;BEHC61800003;digital-BAD45001;Apple Music;UNITED STATES;US;Stream;Stream;2  ;$0,02
Caz Gardiner & The Badasonics;Tic Tac Toe;Track;3760231765051;BEHC61800009;digital-BAD45001;BSO;NETHERLANDS;NL;Stream;Stream;2  ;$0,01
Caz Gardiner & The Badasonics;Tic Tac Toe;Track;3760231765051;BEHC61800009;digital-BAD45001;Google Subscription;UNITED STATES;US;Stream;WEB - Stream;2  ;$0,01
Caz Gardiner & The Badasonics;Tic Tac Toe;Track;3760231765051;BEHC61800009;digital-BAD45001;Google Subscription;UNITED STATES;US;Stream;MOBILE - Stream;1  ;$0,01
Caz Gardiner & The Badasonics;Never Gonna Let;Track;3760231765051;BEHC61800003;digital-BAD45001;iTunes;BELGIUM;BE;Download;Song—Plus (DRM-free);-1  ;-$0,92
Caz Gardiner & The Badasonics;Tic Tac Toe;Track;3760231765051;BEHC61800009;digital-BAD45001;iTunes;BELGIUM;BE;Download;Song—Plus (DRM-free);-1  ;-$0,92
Caz Gardiner & The Badasonics;Tic Tac Toe;Track;3760231765051;BEHC61800009;digital-BAD45001;iTunes;BELGIUM;BE;Stream;Song—Match Download—Plus (DRM-free);1  ;$0,00
Caz Gardiner & The Badasonics;Never Gonna Let;Track;3760231765051;BEHC61800003;digital-BAD45001;iTunes;JAPAN;JP;Download;Song—Plus (DRM-free);1  ;$0,93
Caz Gardiner & The Badasonics;Never Gonna Let;Track;3760231765051;BEHC61800003;digital-BAD45001;iTunes;JAPAN;JP;Stream;Song—Match Download—Plus (DRM-free);2  ;$0,00
Caz Gardiner & The Badasonics;Never Gonna Let;Track;3760231765051;BEHC61800003;digital-BAD45001;iTunes;UNITED STATES;US;Download;Song—Plus (DRM-free);1  ;$0,82
Caz Gardiner & The Badasonics;Never Gonna Let;Track;3760231765051;BEHC61800003;digital-BAD45001;iTunes;UNITED STATES;US;Stream;Song—Match Download—Plus (DRM-free);2  ;$0,00
Caz Gardiner & The Badasonics;Never Gonna Let;Track;3760231765051;BEHC61800003;digital-BAD45001;MOD;MEXICO;MX;Stream;Stream;1  ;$0,00
Caz Gardiner & The Badasonics;Never Gonna Let;Track;3760231765051;BEHC61800003;digital-BAD45001;Spotify;SPAIN;ES;Stream;Stream;2  ;$0,01
